0,LD
1,LDI
2,LDD
3,PUSH
4,POP
5,ADD
6,ADC
7,SUB
8,SBC
9,AND
10,XOR
11,OR
12,CP
13,INC
14,DEC
15,DAA
16,CPL
17,RLCA
18,RLCA
19,RRCA
20,RRA
21,RLC
22,RL
23,RRC
24,RR
25,SLA
26,SWAP
27,SRA
28,SRL
29,BIT
30,SET
31,RES
32,NOP
33,JR
34,JP
35,RETI
36,NULL
